STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
2273,2010,"SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",NAN,29.5,6.2,6.8,67,1.7,0.61,8,145,1,52.33119235
2274,2014,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.5,5.3,6.8,319,1.8,0.3,6458,10250,0,202.308707
2274,2013,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.3,4.2,6.7,192,2,0.16,4448,9286,0,162.9464915
2274,2012,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29,4.5,6.6,250,2.4,0.16,1572,5889,1,99.01385061
2274,2011,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,26.9,6,5.9,273,1.8,0.31,10,171,1,38.59076626
2274,2010,MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,NAN,28.1,6.3,6.2,110,1.5,0.59,8,157,1,39.67186939
2274,2009,NAN,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,29,7.3,6.8,20640,2.5,0.42,87,162,1,60.35914383
2274,2008,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,NAN,31,3.6,7,29,2,0.09,33,170,1,71.41435722
2275,2014,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,29.2,6.9,7,620,1.1,0.1,3500,6300,0,125.6729757
2275,2013,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.8,7,7,55,1.2,0.66,1298,2813,1,76.6316567
2275,2012,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28,7,6.8,503,1.6,0.66,965,2404,1,69.3497367
2275,2011,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,26,6.8,6.2,226,1.6,0.18,9,151,1,38.11724661
2275,2010,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",NAN,27.6,7,6.3,742,1.6,0.42,8,139,1,39.0270847
2275,2009,NAN,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",28,7.2,6.9,5350,2.2,0.28,134,206,1,57.57765878
2275,2008,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",NAN,30,6.8,7.2,1370,2.6,0.08,33,110,1,65.08262661
2276,2014,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.3,7.4,6.8,121,1.7,0.4,11633,18125,0,307.3968009
2276,2013,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.6,7,6.8,304,2,0.49,12140,23867,0,324.5026607
2276,2012,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29,7.4,6.5,129,2.3,0.49,5868,16691,0,179.7974929
2276,2011,RIVER BICHOLIM VARAZAN NAGAR,GOA,27.8,6.7,6.3,127,2,0.44,10,149,1,43.92618157
2276,2010,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",NAN,29,6.9,6.6,154,1.9,0.83,17,173,1,47.52947965
2276,2009,NAN,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",28,7,6.8,4800,3,0.32,69,126,1,62.3182047
2276,2008,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",NAN,28,8.1,7.1,335,3.2,0.21,1300,5400,1,91.36608017
